PRISM Time Series Data
Location:  Lat: 47.4902   Lon: -121.8047   Elev: 469ft
"Climate variables: ppt,tmean,tdmean"
Spatial resolution: 4km
Period: 2008-01-01 - 2021-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jul-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),tdmean (degrees F)
2011-12-07,0.00,32.8,32.5
2011-12-08,0.00,36.1,35.0
2011-12-09,0.00,33.0,30.5
2011-12-10,0.00,32.7,28.8
2011-12-11,0.03,32.6,32.4
2011-12-12,0.00,34.2,33.2
2011-12-13,0.00,32.0,26.0
2011-12-14,0.00,33.5,27.5
2011-12-15,0.09,35.6,31.3
2011-12-16,0.14,38.5,38.5
2011-12-17,0.00,40.7,38.4
2011-12-18,0.19,41.7,36.3
2011-12-19,0.14,39.8,38.2
2011-12-20,0.02,39.8,38.0
2011-12-21,0.13,39.2,37.9
2011-12-22,0.00,36.3,30.0
2011-12-23,0.00,33.2,26.6
2011-12-24,0.14,39.5,37.5
2011-12-25,0.10,45.3,39.8
2011-12-26,0.25,42.0,37.1
2011-12-27,0.23,39.7,36.6
2011-12-28,1.08,46.4,44.5
2011-12-29,1.40,49.7,47.0
2011-12-30,1.08,45.4,41.8
2011-12-31,0.17,40.1,35.3
2012-01-01,0.00,36.9,30.8
2012-01-02,0.00,43.3,31.5
2012-01-03,0.36,43.9,37.4
2012-01-04,0.01,46.4,42.1
2012-01-05,0.98,47.7,43.6
2012-01-06,0.04,41.0,34.4
2012-01-07,0.00,37.4,34.2
2012-01-08,0.00,39.8,37.5
2012-01-09,0.00,44.2,39.8
2012-01-10,0.17,42.9,40.0
2012-01-11,0.00,35.9,28.6
2012-01-12,0.00,34.3,24.3
2012-01-13,0.00,33.4,25.5
2012-01-14,0.10,31.7,29.3
2012-01-15,0.45,35.3,31.4
2012-01-16,0.25,29.1,28.0
2012-01-17,0.36,29.9,29.3
2012-01-18,0.25,31.7,29.5
2012-01-19,0.90,30.2,26.3
2012-01-20,0.67,30.7,29.9
2012-01-21,0.77,38.4,35.8
2012-01-22,0.08,38.7,34.3
2012-01-23,0.35,38.5,34.0
2012-01-24,0.02,39.1,32.3
2012-01-25,0.78,43.1,39.2
2012-01-26,0.76,42.8,38.1
2012-01-27,0.15,36.4,30.4
2012-01-28,0.00,36.4,27.9
2012-01-29,0.44,39.4,32.2
2012-01-30,2.22,44.3,43.5
2012-01-31,0.06,43.0,39.3
2012-02-01,0.39,44.0,38.7
2012-02-02,0.33,40.6,37.4
2012-02-03,0.00,41.2,34.0
2012-02-04,0.00,45.5,28.7
2012-02-05,0.00,46.6,27.7
2012-02-06,0.00,44.7,31.0
2012-02-07,0.00,46.2,26.2
2012-02-08,0.02,47.0,29.4
2012-02-09,0.04,44.3,41.4
2012-02-10,0.09,45.7,43.6
2012-02-11,0.13,48.6,43.5
2012-02-12,0.05,44.3,40.0
2012-02-13,0.11,43.3,38.5
2012-02-14,0.11,41.8,39.1
2012-02-15,0.14,37.4,35.5
2012-02-16,0.02,39.1,34.2
2012-02-17,0.11,40.5,37.8
2012-02-18,0.83,44.5,40.0
2012-02-19,0.69,40.0,36.6
2012-02-20,0.03,38.2,32.2
2012-02-21,0.96,39.5,38.9
2012-02-22,2.58,46.6,45.3
2012-02-23,0.50,43.7,35.9
2012-02-24,0.04,41.8,34.4
2012-02-25,0.85,41.0,37.9
2012-02-26,0.26,39.0,31.9
2012-02-27,0.13,33.8,28.0
2012-02-28,0.01,34.5,23.8
2012-02-29,0.09,36.7,28.6
2012-03-01,0.35,36.5,32.8
2012-03-02,0.14,37.1,33.8
2012-03-03,0.53,40.4,37.9
2012-03-04,0.03,47.3,42.5
2012-03-05,0.10,46.7,40.4
2012-03-06,0.58,38.6,32.8
2012-03-07,0.05,35.2,26.1
2012-03-08,0.00,36.0,26.4
2012-03-09,0.00,45.6,34.2
2012-03-10,0.21,44.9,40.8
2012-03-11,0.92,42.5,41.2
2012-03-12,0.28,39.6,33.9
2012-03-13,0.82,38.1,35.2
2012-03-14,0.28,36.7,32.3
2012-03-15,0.78,37.7,36.8
2012-03-16,1.05,44.7,41.5
2012-03-17,0.25,43.4,37.0
2012-03-18,0.26,40.1,35.4
2012-03-19,0.21,36.2,32.7
2012-03-20,0.25,37.7,32.4
2012-03-21,0.68,39.7,35.0
2012-03-22,0.17,40.4,31.4
2012-03-23,0.12,40.5,32.2
2012-03-24,0.00,42.9,31.5
2012-03-25,0.00,46.1,33.8
2012-03-26,0.10,45.1,38.4
2012-03-27,0.06,46.9,37.1
2012-03-28,0.03,49.9,41.2
2012-03-29,0.29,46.5,39.1
2012-03-30,1.37,44.4,42.9
2012-03-31,0.22,43.5,39.0
2012-04-01,0.38,42.8,39.2
2012-04-02,0.26,42.5,37.0
2012-04-03,0.00,51.0,35.3
2012-04-04,0.14,44.5,37.3
2012-04-05,0.08,44.1,35.6
2012-04-06,0.18,41.8,36.4
2012-04-07,0.04,41.9,33.3
2012-04-08,0.00,45.2,32.2
2012-04-09,0.00,54.8,31.8
2012-04-10,0.00,53.7,37.5
2012-04-11,0.00,54.1,43.2
2012-04-12,0.31,48.0,45.4
2012-04-13,0.27,46.7,40.6
2012-04-14,0.00,47.0,38.2
2012-04-15,0.00,48.1,39.2
2012-04-16,0.33,52.4,40.0
2012-04-17,0.23,47.5,42.2
2012-04-18,0.13,45.8,40.1
2012-04-19,0.13,48.7,41.1
2012-04-20,1.47,48.0,45.0
2012-04-21,0.31,47.0,42.0
2012-04-22,0.00,52.2,44.4
2012-04-23,0.00,60.2,47.4
2012-04-24,0.00,59.7,49.5
2012-04-25,0.06,53.6,49.5
2012-04-26,0.69,55.7,51.2
2012-04-27,0.37,47.8,41.7
2012-04-28,0.07,49.1,40.8
2012-04-29,0.04,52.3,45.7
2012-04-30,0.71,52.5,47.4
2012-05-01,0.74,48.9,43.5
2012-05-02,0.16,46.2,39.8
2012-05-03,0.04,47.8,39.4
2012-05-04,0.94,47.2,44.6
2012-05-05,0.41,46.7,40.0
2012-05-06,0.02,46.3,39.5
2012-05-07,0.00,50.5,40.1
2012-05-08,0.00,58.2,44.2
2012-05-09,0.00,56.2,42.3
2012-05-10,0.00,46.3,32.4
2012-05-11,0.00,46.3,32.8
2012-05-12,0.00,50.7,35.6
2012-05-13,0.00,59.1,37.2
2012-05-14,0.00,61.8,40.8
2012-05-15,0.00,63.7,43.6
2012-05-16,0.00,61.0,44.7
2012-05-17,0.04,53.9,42.4
2012-05-18,0.00,53.6,38.5
2012-05-19,0.00,50.6,38.8
2012-05-20,0.00,53.0,40.8
2012-05-21,0.30,54.7,51.9
2012-05-22,0.98,55.2,52.5
2012-05-23,0.56,50.8,46.9
2012-05-24,0.76,49.6,45.4
2012-05-25,0.04,53.0,43.9
2012-05-26,0.00,56.2,46.9
2012-05-27,0.00,58.6,47.3
2012-05-28,0.04,57.0,47.1
2012-05-29,0.11,54.5,45.1
2012-05-30,0.00,55.0,42.6
2012-05-31,0.22,57.5,47.9
2012-06-01,0.37,59.7,55.9
2012-06-02,0.42,58.5,56.0
2012-06-03,0.16,55.4,46.4
2012-06-04,0.02,52.9,42.3
2012-06-05,0.49,50.1,47.4
2012-06-06,0.73,49.6,43.9
2012-06-07,0.13,51.4,41.8
2012-06-08,0.63,52.1,46.6
2012-06-09,0.25,51.7,44.8
2012-06-10,0.04,52.4,45.0
2012-06-11,0.00,56.0,44.9
2012-06-12,0.00,60.0,47.4
2012-06-13,0.24,57.1,52.6
2012-06-14,0.00,54.2,45.1
2012-06-15,0.00,51.4,44.7
2012-06-16,0.00,57.3,48.1
2012-06-17,0.28,63.1,57.8
2012-06-18,0.41,56.9,50.8
2012-06-19,0.41,53.4,47.5
2012-06-20,0.02,55.1,47.6
2012-06-21,0.00,59.9,48.2
2012-06-22,0.00,62.0,50.6
2012-06-23,0.76,53.5,51.9
2012-06-24,0.42,52.6,50.3
2012-06-25,0.07,55.2,47.8
2012-06-26,0.18,55.6,49.4
2012-06-27,0.28,53.0,48.3
2012-06-28,0.00,58.9,46.4
2012-06-29,0.01,61.8,52.4
2012-06-30,0.05,64.3,57.7
2012-07-01,0.16,61.8,57.7
2012-07-02,0.01,57.4,50.3
2012-07-03,0.50,58.0,50.5
2012-07-04,0.09,55.7,47.7
2012-07-05,0.00,57.2,46.1
2012-07-06,0.00,60.3,48.7
2012-07-07,0.00,62.7,51.4
2012-07-08,0.00,65.1,52.9
2012-07-09,0.00,67.7,55.6
2012-07-10,0.00,64.8,55.7
2012-07-11,0.00,63.3,53.9
2012-07-12,0.00,66.2,56.0
2012-07-13,0.00,66.3,56.5
2012-07-14,0.00,64.7,57.6
2012-07-15,0.00,66.0,59.2
2012-07-16,0.02,59.6,53.5
2012-07-17,0.00,66.5,57.7
2012-07-18,0.01,67.3,59.0
2012-07-19,0.00,63.7,56.5
2012-07-20,0.16,67.6,58.7
2012-07-21,0.57,61.2,58.2
2012-07-22,0.00,64.6,55.2
2012-07-23,0.31,57.1,50.7
2012-07-24,0.00,56.9,51.1
2012-07-25,0.00,60.7,52.6
2012-07-26,0.00,65.6,56.7
2012-07-27,0.00,67.1,57.4
2012-07-28,0.00,60.2,54.7
2012-07-29,0.00,62.1,53.8
2012-07-30,0.00,62.7,53.9
2012-07-31,0.00,60.0,52.9
2012-08-01,0.00,61.5,51.9
2012-08-02,0.00,62.1,52.8
2012-08-03,0.00,62.2,53.8
2012-08-04,0.00,67.2,55.6
2012-08-05,0.00,74.6,57.5
2012-08-06,0.00,76.5,59.7
2012-08-07,0.00,71.2,58.3
2012-08-08,0.00,62.6,56.8
2012-08-09,0.00,62.2,53.2
2012-08-10,0.00,63.9,52.5
2012-08-11,0.00,64.4,53.7
2012-08-12,0.00,67.5,54.7
2012-08-13,0.00,70.8,56.8
2012-08-14,0.00,70.8,53.2
2012-08-15,0.00,69.3,56.6
2012-08-16,0.00,72.3,53.1
2012-08-17,0.00,75.7,53.7
2012-08-18,0.00,74.4,57.3
2012-08-19,0.00,65.7,58.1
2012-08-20,0.00,63.7,55.5
2012-08-21,0.00,65.5,53.4
2012-08-22,0.00,61.8,52.5
2012-08-23,0.00,63.6,50.8
2012-08-24,0.00,59.3,47.1
2012-08-25,0.00,58.4,45.8
2012-08-26,0.00,61.9,47.8
2012-08-27,0.00,62.1,51.4
2012-08-28,0.00,63.4,50.1
2012-08-29,0.00,62.7,50.4
2012-08-30,0.00,62.2,51.9
2012-08-31,0.00,60.0,49.7
2012-09-01,0.00,58.7,47.1
2012-09-02,0.00,59.0,46.8
2012-09-03,0.00,58.6,46.6
2012-09-04,0.00,60.6,48.8
2012-09-05,0.00,61.4,50.4
2012-09-06,0.00,64.3,51.2
2012-09-07,0.00,66.0,49.3
2012-09-08,0.00,69.4,46.9
2012-09-09,0.00,67.3,51.3
2012-09-10,0.23,59.5,51.1
2012-09-11,0.04,55.5,43.8
2012-09-12,0.00,54.3,41.2
2012-09-13,0.00,56.5,40.9
2012-09-14,0.00,63.7,41.5
2012-09-15,0.00,64.3,46.9
2012-09-16,0.00,61.3,48.4
2012-09-17,0.00,60.8,48.2
2012-09-18,0.00,64.4,48.2
2012-09-19,0.00,66.6,48.7
2012-09-20,0.00,62.6,48.8
2012-09-21,0.00,60.3,50.7
2012-09-22,0.02,57.2,52.5
2012-09-23,0.01,54.6,49.1
2012-09-24,0.00,56.5,48.5
2012-09-25,0.00,57.6,50.2
2012-09-26,0.00,54.8,47.9
2012-09-27,0.00,57.2,47.1
2012-09-28,0.00,60.0,48.6
2012-09-29,0.00,63.7,51.1
2012-09-30,0.00,54.6,45.9
2012-10-01,0.00,55.3,42.6
2012-10-02,0.00,59.5,48.7
2012-10-03,0.00,51.1,37.7
2012-10-04,0.00,51.7,31.8
2012-10-05,0.00,52.3,33.6
2012-10-06,0.00,54.3,30.9
2012-10-07,0.00,56.6,31.4
2012-10-08,0.00,58.0,37.0
2012-10-09,0.00,57.5,41.3
2012-10-10,0.00,50.4,43.7
2012-10-11,0.00,49.9,44.6
2012-10-12,0.00,51.3,42.1
2012-10-13,0.36,50.6,49.3
2012-10-14,0.36,57.1,54.2
2012-10-15,0.85,57.5,55.3
2012-10-16,0.83,56.2,53.3
2012-10-17,0.13,48.3,42.4
2012-10-18,0.00,49.3,41.5
2012-10-19,0.87,54.6,46.5
2012-10-20,0.51,53.4,47.8
2012-10-21,0.24,43.8,38.1
2012-10-22,0.12,43.0,37.2
2012-10-23,0.42,41.7,38.7
2012-10-24,0.09,44.9,38.8
2012-10-25,0.27,45.1,40.3
2012-10-26,0.02,45.5,40.9
2012-10-27,0.37,45.9,43.1
2012-10-28,1.17,49.5,48.0
2012-10-29,1.18,54.0,50.8
2012-10-30,0.52,55.1,52.1
2012-10-31,1.24,54.8,53.9
2012-11-01,0.48,54.3,52.5
2012-11-02,0.25,53.0,50.6
2012-11-03,0.21,53.6,50.4
2012-11-04,0.27,54.3,52.7
2012-11-05,0.55,56.2,55.3
2012-11-06,0.01,50.8,45.1
2012-11-07,0.15,50.1,46.1
2012-11-08,0.03,42.9,38.0
2012-11-09,0.00,40.2,34.1
2012-11-10,0.00,36.7,30.6
2012-11-11,0.01,36.3,27.6
2012-11-12,0.70,38.1,36.1
2012-11-13,0.17,45.0,43.7
2012-11-14,0.38,47.0,45.2
2012-11-15,0.11,43.2,41.2
2012-11-16,0.00,42.6,37.6
2012-11-17,0.05,42.1,40.0
2012-11-18,0.43,46.5,40.8
2012-11-19,1.09,46.0,41.4
2012-11-20,1.50,49.4,46.3
2012-11-21,0.37,45.3,41.6
2012-11-22,0.31,42.3,38.2
2012-11-23,0.23,42.0,37.3
2012-11-24,1.25,45.3,44.1
2012-11-25,0.03,43.0,39.7
2012-11-26,0.00,38.9,33.6
2012-11-27,0.00,40.4,30.8
2012-11-28,0.00,40.4,34.3
2012-11-29,0.12,43.2,38.6
2012-11-30,0.17,47.6,42.5
2012-12-01,0.59,49.6,45.6
2012-12-02,0.49,48.9,41.1
2012-12-03,1.00,44.8,41.9
2012-12-04,0.83,45.4,43.3
2012-12-05,0.86,47.0,43.0
2012-12-06,0.22,42.7,34.3
2012-12-07,0.87,42.0,38.9
2012-12-08,0.35,40.6,35.9
2012-12-09,0.05,37.8,34.7
2012-12-10,0.45,38.5,38.2
2012-12-11,0.06,40.3,39.5
2012-12-12,0.54,41.1,39.2
2012-12-13,0.17,39.6,38.0
2012-12-14,0.34,39.0,34.8
2012-12-15,0.11,35.6,34.0
2012-12-16,0.24,35.3,33.2
2012-12-17,0.78,40.3,36.9
2012-12-18,0.14,38.2,33.1
2012-12-19,0.19,35.0,30.8
2012-12-20,0.82,37.5,35.4
2012-12-21,0.44,36.7,34.7
2012-12-22,0.03,38.4,34.0
2012-12-23,0.04,40.2,36.3
2012-12-24,0.26,39.4,36.1
2012-12-25,0.14,38.5,35.2
2012-12-26,0.21,38.1,34.4
2012-12-27,0.59,39.4,38.3
2012-12-28,0.16,39.2,37.2
2012-12-29,0.00,40.2,35.1
2012-12-30,0.06,35.9,34.3
2012-12-31,0.00,33.5,29.9
2013-01-01,0.00,32.8,30.2
2013-01-02,0.00,32.8,27.1
2013-01-03,0.00,33.6,25.2
2013-01-04,0.26,33.0,29.0
2013-01-05,0.07,40.4,38.4
2013-01-06,0.09,38.6,36.1
2013-01-07,1.13,39.7,38.2
2013-01-08,0.63,44.1,42.0
2013-01-09,0.50,46.4,43.5
2013-01-10,0.42,38.6,35.3
2013-01-11,0.09,31.9,30.8
2013-01-12,0.00,29.0,24.3
2013-01-13,0.00,27.8,21.0
2013-01-14,0.00,27.3,23.3
2013-01-15,0.00,31.8,28.5
2013-01-16,0.00,33.7,28.5
2013-01-17,0.00,33.6,29.1
2013-01-18,0.00,32.4,30.0
2013-01-19,0.00,32.4,28.6
2013-01-20,0.00,32.1,30.6
2013-01-21,0.00,33.0,29.8
2013-01-22,0.00,32.1,27.7
2013-01-23,0.00,32.6,30.2
2013-01-24,0.22,39.4,35.7
2013-01-25,0.47,39.6,37.5
2013-01-26,0.19,41.6,39.6
2013-01-27,0.22,40.1,37.4
2013-01-28,0.47,38.4,37.1
2013-01-29,0.90,39.1,37.8
2013-01-30,1.02,42.6,42.3
2013-01-31,0.41,44.6,44.6
2013-02-01,0.20,45.1,43.3
2013-02-02,0.00,43.4,40.2
2013-02-03,0.00,39.4,36.5
2013-02-04,0.14,40.5,39.2
2013-02-05,0.11,45.2,40.4
2013-02-06,0.62,45.2,40.1
2013-02-07,0.18,44.3,38.6
2013-02-08,0.02,39.2,33.2
2013-02-09,0.02,36.9,34.0
2013-02-10,0.01,39.0,36.6
2013-02-11,0.00,39.5,35.6
2013-02-12,0.02,40.7,38.7
2013-02-13,0.31,44.7,42.9
2013-02-14,0.06,44.1,39.7
2013-02-15,0.03,42.9,42.7
2013-02-16,0.03,45.4,39.9
2013-02-17,0.48,43.6,38.1
2013-02-18,0.00,40.3,33.0
2013-02-19,0.00,39.3,34.0
2013-02-20,0.00,40.5,32.6
2013-02-21,0.08,38.8,35.0
2013-02-22,0.42,39.4,37.3
2013-02-23,0.43,41.2,36.3
2013-02-24,0.26,41.8,34.2
2013-02-25,0.16,42.3,34.9
2013-02-26,0.04,41.7,33.6
2013-02-27,0.16,41.1,32.7
2013-02-28,0.29,42.8,39.5
2013-03-01,0.87,45.5,45.2
2013-03-02,0.02,52.0,47.0
2013-03-03,0.61,45.7,40.3
2013-03-04,0.02,38.9,30.1
2013-03-05,0.00,41.3,27.7
2013-03-06,0.01,43.2,34.5
2013-03-07,0.61,40.8,38.2
2013-03-08,0.10,42.3,37.8
2013-03-09,0.00,41.9,34.9
2013-03-10,0.00,43.3,33.7
2013-03-11,0.10,40.1,38.7
2013-03-12,0.24,45.0,42.4
2013-03-13,0.90,50.3,47.0
2013-03-14,0.25,49.9,47.8
2013-03-15,0.17,50.2,45.9
2013-03-16,0.14,51.8,46.2
2013-03-17,0.40,42.8,38.2
2013-03-18,0.05,41.1,33.0
2013-03-19,0.09,41.5,31.2
2013-03-20,0.52,43.7,35.9
2013-03-21,0.48,43.2,37.4
2013-03-22,0.53,39.0,32.4
2013-03-23,0.12,37.7,29.1
2013-03-24,0.00,39.6,27.4
2013-03-25,0.00,42.2,29.4
2013-03-26,0.00,47.2,32.0
2013-03-27,0.00,51.5,38.1
2013-03-28,0.01,48.2,41.2
2013-03-29,0.10,51.0,43.8
2013-03-30,0.01,51.4,42.3
2013-03-31,0.00,52.7,41.4
2013-04-01,0.00,55.7,41.6
2013-04-02,0.00,52.4,45.2
2013-04-03,0.00,51.5,44.9
2013-04-04,0.00,53.4,43.9
2013-04-05,1.05,54.4,48.3
2013-04-06,1.39,51.0,47.1
2013-04-07,0.87,46.0,42.0
2013-04-08,0.77,42.1,39.7
2013-04-09,0.07,45.9,41.1
2013-04-10,0.06,48.0,41.3
2013-04-11,0.71,49.1,42.8
2013-04-12,0.15,46.4,37.4
2013-04-13,0.50,41.6,37.0
2013-04-14,1.00,40.3,37.0
2013-04-15,0.17,43.9,36.2
2013-04-16,0.14,44.8,36.7
2013-04-17,0.02,44.4,34.9
2013-04-18,0.00,46.2,36.5
2013-04-19,0.90,46.7,43.2
2013-04-20,1.02,48.9,46.7
2013-04-21,0.18,48.2,42.9
2013-04-22,0.15,44.3,39.4
2013-04-23,0.00,47.5,31.1
2013-04-24,0.00,49.1,33.3
2013-04-25,0.00,52.8,35.5
2013-04-26,0.00,54.4,40.3
2013-04-27,0.00,55.9,42.8
2013-04-28,0.31,50.7,44.2
2013-04-29,0.91,50.8,43.0
2013-04-30,0.72,47.7,34.6
2013-05-01,0.07,43.6,30.7
2013-05-02,0.00,48.9,33.5
2013-05-03,0.00,55.0,38.4
2013-05-04,0.00,55.0,41.7
2013-05-05,0.00,61.8,40.5
2013-05-06,0.00,64.1,41.7
2013-05-07,0.00,66.6,44.7
2013-05-08,0.00,61.1,49.2
2013-05-09,0.00,57.2,49.0
2013-05-10,0.00,59.5,50.6
2013-05-11,0.00,64.0,49.9
2013-05-12,0.10,67.7,51.7
2013-05-13,0.28,61.7,55.2
2013-05-14,0.55,54.7,46.5
2013-05-15,0.00,53.5,40.5
2013-05-16,0.09,53.8,47.0
2013-05-17,0.31,60.1,49.7
2013-05-18,0.08,56.0,48.4
2013-05-19,0.04,54.5,48.4
2013-05-20,0.00,53.1,46.6
2013-05-21,0.09,55.9,46.6
2013-05-22,0.35,50.2,43.7
2013-05-23,0.23,46.5,42.9
2013-05-24,0.13,48.2,44.4
2013-05-25,0.03,52.4,46.0
2013-05-26,0.02,54.9,46.5
2013-05-27,0.24,54.8,50.5
2013-05-28,0.44,53.2,51.5
2013-05-29,0.30,54.8,48.9
2013-05-30,0.31,52.3,47.6
2013-05-31,0.12,53.2,46.4
2013-06-01,0.00,54.8,44.9
2013-06-02,0.03,59.3,47.3
2013-06-03,0.00,56.1,48.0
2013-06-04,0.00,57.9,48.9
2013-06-05,0.00,61.6,49.4
2013-06-06,0.00,62.7,51.6
2013-06-07,0.00,64.1,49.2
2013-06-08,0.00,60.4,47.8
2013-06-09,0.00,59.5,47.9
2013-06-10,0.00,57.8,45.0
2013-06-11,0.00,56.2,44.9
2013-06-12,0.09,55.6,45.5
2013-06-13,0.15,57.3,46.4
2013-06-14,0.01,57.1,47.3
2013-06-15,0.00,55.0,46.5
2013-06-16,0.00,60.6,49.2
2013-06-17,0.02,62.1,51.7
2013-06-18,0.08,64.0,51.1
2013-06-19,0.02,60.8,48.0
2013-06-20,0.12,58.1,48.3
2013-06-21,0.92,54.9,49.1
2013-06-22,0.01,57.4,50.7
2013-06-23,0.00,62.2,51.5
2013-06-24,0.30,62.5,57.8
2013-06-25,0.27,60.2,53.1
2013-06-26,0.22,62.5,54.9
2013-06-27,0.17,62.9,56.0
2013-06-28,0.03,63.8,60.2
2013-06-29,0.00,72.1,60.8
2013-06-30,0.00,70.8,59.8
2013-07-01,0.00,75.3,61.6
2013-07-02,0.00,74.5,60.8
2013-07-03,0.00,69.3,56.1
2013-07-04,0.00,67.0,51.6
2013-07-05,0.00,61.2,52.3
2013-07-06,0.00,63.3,53.0
2013-07-07,0.00,65.1,53.7
2013-07-08,0.00,63.4,55.5
2013-07-09,0.00,66.3,55.4
2013-07-10,0.00,68.7,55.0
2013-07-11,0.00,63.2,51.8
2013-07-12,0.00,59.4,45.4
2013-07-13,0.00,57.3,48.2
2013-07-14,0.00,61.3,47.2
2013-07-15,0.00,64.0,47.3
2013-07-16,0.00,65.4,46.5
2013-07-17,0.11,69.1,52.5
2013-07-18,0.00,61.5,55.6
2013-07-19,0.00,64.9,54.4
2013-07-20,0.00,66.1,52.8
2013-07-21,0.00,64.0,53.1
2013-07-22,0.00,64.9,55.9
2013-07-23,0.00,65.2,56.1
2013-07-24,0.00,68.8,52.6
2013-07-25,0.00,68.9,50.4
2013-07-26,0.00,68.1,49.8
2013-07-27,0.00,67.1,49.8
2013-07-28,0.00,62.9,49.3
2013-07-29,0.00,58.3,51.7
2013-07-30,0.00,64.0,52.9
2013-07-31,0.00,64.8,54.5
2013-08-01,0.00,62.2,55.7
2013-08-02,0.03,60.5,53.7
2013-08-03,0.06,59.5,55.7
2013-08-04,0.00,64.2,56.5
2013-08-05,0.00,67.7,57.4
2013-08-06,0.00,69.0,55.3
2013-08-07,0.00,68.9,52.6
2013-08-08,0.00,69.1,53.3
2013-08-09,0.00,67.6,55.3
2013-08-10,0.12,68.5,56.6
2013-08-11,0.01,68.8,59.8
2013-08-12,0.00,64.8,56.4
2013-08-13,0.00,66.2,54.9
2013-08-14,0.00,67.5,53.4
2013-08-15,0.03,67.8,57.4
2013-08-16,0.07,65.2,61.8
2013-08-17,0.00,71.0,57.8
2013-08-18,0.00,67.4,56.2
2013-08-19,0.00,67.7,54.6
2013-08-20,0.00,66.8,53.1
2013-08-21,0.00,63.0,49.2
2013-08-22,0.00,65.2,50.6
2013-08-23,0.00,68.4,53.4
2013-08-24,0.00,65.7,55.2
2013-08-25,0.00,62.7,53.3
2013-08-26,0.04,61.2,53.7
2013-08-27,0.06,66.5,56.0
2013-08-28,0.29,69.0,57.8
2013-08-29,0.32,68.8,61.1
2013-08-30,1.11,66.6,62.3
2013-08-31,0.02,64.9,54.8
2013-09-01,0.00,67.5,54.0
2013-09-02,0.00,68.2,55.9
2013-09-03,0.14,69.2,56.8
2013-09-04,0.04,66.0,58.7
2013-09-05,0.08,64.9,58.3
2013-09-06,1.41,63.7,58.9
2013-09-07,0.07,64.3,58.8
2013-09-08,0.00,63.5,57.0
2013-09-09,0.00,66.8,56.9
2013-09-10,0.00,66.8,56.5
2013-09-11,0.00,67.5,56.2
2013-09-12,0.00,74.8,56.5
2013-09-13,0.00,68.5,57.8
2013-09-14,0.00,62.3,58.0
2013-09-15,0.00,64.0,57.3
2013-09-16,0.49,62.9,58.0
2013-09-17,0.23,60.5,55.1
2013-09-18,0.04,57.6,51.2
2013-09-19,0.00,58.2,48.6
2013-09-20,0.00,62.3,46.9
2013-09-21,0.05,63.5,51.2
2013-09-22,0.26,60.7,52.0
2013-09-23,1.05,56.6,50.7
2013-09-24,0.41,54.0,49.3
2013-09-25,0.07,53.9,46.6
2013-09-26,0.00,50.0,45.3
2013-09-27,0.01,53.6,44.8
2013-09-28,0.44,52.7,48.8
2013-09-29,2.00,55.6,51.0
2013-09-30,1.78,51.2,46.8
2013-10-01,1.45,49.8,45.5
2013-10-02,0.30,49.2,44.1
2013-10-03,0.29,48.9,44.5
2013-10-04,0.00,47.2,43.4
2013-10-05,0.00,51.7,43.0
2013-10-06,0.00,55.5,44.9
2013-10-07,0.08,59.3,46.0
2013-10-08,0.35,52.4,46.6
2013-10-09,0.45,45.7,41.8
2013-10-10,0.00,46.8,41.7
2013-10-11,0.17,49.9,45.4
2013-10-12,0.09,49.8,45.9
2013-10-13,0.03,48.8,44.2
2013-10-14,0.00,46.7,41.4
2013-10-15,0.00,47.9,40.4
2013-10-16,0.00,49.7,42.8
2013-10-17,0.00,48.7,44.2
2013-10-18,0.00,49.4,43.5
2013-10-19,0.00,48.9,43.1
2013-10-20,0.00,46.3,43.7
2013-10-21,0.00,48.6,44.0
2013-10-22,0.00,50.2,45.2
2013-10-23,0.00,51.2,45.0
2013-10-24,0.00,52.1,43.8
2013-10-25,0.00,50.4,44.4
2013-10-26,0.00,46.8,45.3
2013-10-27,0.03,47.0,44.0
2013-10-28,0.03,46.2,42.6
2013-10-29,0.00,45.8,32.6
2013-10-30,0.00,44.2,32.9
2013-10-31,0.10,45.7,40.0
2013-11-01,0.09,49.6,48.3
2013-11-02,0.47,53.7,48.4
2013-11-03,0.31,46.1,41.1
2013-11-04,0.05,42.1,36.7
2013-11-05,0.21,41.1,37.7
2013-11-06,0.27,46.0,42.7
2013-11-07,0.52,46.1,43.7
2013-11-08,1.32,47.7,44.8
2013-11-09,0.05,45.4,41.3
2013-11-10,0.10,43.7,41.1
2013-11-11,0.00,46.4,43.3
2013-11-12,0.08,50.7,42.4
2013-11-13,0.23,51.6,48.4
2013-11-14,0.04,50.5,43.2
2013-11-15,0.33,45.2,42.4
2013-11-16,1.38,43.1,39.5
2013-11-17,0.07,42.4,36.2
2013-11-18,0.72,46.2,43.0
2013-11-19,1.42,49.6,46.5
2013-11-20,0.15,40.8,31.9
2013-11-21,0.00,34.3,22.5
2013-11-22,0.00,33.6,24.0
2013-11-23,0.00,36.6,24.3
2013-11-24,0.00,41.2,27.8
2013-11-25,0.00,40.5,31.2
2013-11-26,0.00,42.4,31.5
2013-11-27,0.00,43.3,34.9
2013-11-28,0.00,44.6,34.8
2013-11-29,0.00,42.4,34.3
